what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473730671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473733375
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250473733515
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250473733640
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1250473742281
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1250473743953
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1250473755359
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250473762875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473767171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473769203
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473773390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473782046
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250473784578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473794546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473795312
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473797718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473798171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473798875
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473799328
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473816062
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473833234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473835250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473835265
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473835328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250473836921
