what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503257687
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.rename.element",1250503257703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503263250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503263281
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503263609
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503278421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503286859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503297484
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503297546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503297890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503303640
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503308500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503308562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503308812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503328765
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503328843
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503328843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503336187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503339546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250503345437
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250503345656
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250503345781
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250503347421
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1250503349859
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250503352218
