what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472253015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472253062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472253078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472265281
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472265921
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472366062
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472366968
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472482781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472488171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472510296
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1250472511531
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250472511609
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250472512250
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1250472512328
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250472515421
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1250472516828
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1250472517375
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472521562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472541890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472546078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472549421
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250472553156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250472558062
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1250472564046
started,bundle,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui",1250472564093
